country,year,GDP per capita
Algeria,2009,10.9k
Algeria,2010,11k
Ecuador,1990,8260
Ecuador,1991,8480
Ecuador,1992,8540
Ecuador,1993,8540
Ecuador,1994,8720
Ecuador,1995,8740
Ecuador,1996,8720
Ecuador,1997,8920
Ecuador,1998,9040
Ecuador,1999,8450
Ecuador,2000,8400
Ecuador,2001,8580
Ecuador,2002,8760
Ecuador,2003,8830
Ecuador,2004,9360
Ecuador,2005,9670
Ecuador,2006,9900
Ecuador,2007,9920
Ecuador,2008,10.3k
Ecuador,2009,10.2k
Ecuador,2010,10.4k
Egypt,1990,5860
Egypt,1991,5870
Egypt,1992,6020
Egypt,1993,6110
Egypt,1994,6250
Egypt,1995,6430
